title,category,price,sale_price,sku,availability,options,image_urls,product_url
3 Shelf Maxtrix Narrow Bookcase In Natural,Bunk Beds,,$264.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1472.jpg,https://bedsmart.ca/product/3-shelf-maxtrix-narrow-bookcase-in-natural/
3 Shelf Maxtrix Narrow Bookcase In White,Bunk Beds,,$264.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1474.jpg,https://bedsmart.ca/product/3-shelf-maxtrix-narrow-bookcase-in-white/
Twin Maxtrix Under-Bed Curtain,Bunk Beds,,$189.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/281.jpg,https://bedsmart.ca/product/3220-022-twin-maxtrix-under-bed-curtain/
342X-022 / BLUE AND WHITE MAXTRIX TOP TENT / TWIN,Bunk Beds,,$434.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/315.jpg,https://bedsmart.ca/product/342x-022-blue-and-white-maxtrix-top-tent/
Twin Purple Maxtrix Top Tent,Bunk Beds,,$434.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/318.jpg,https://bedsmart.ca/product/342x-027-twin-purple-maxtrix-top-tent/
345X-027 FULL PURPLE MAXTRIX TOP TENT,Bunk Beds,,$524.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/331.jpg,https://bedsmart.ca/product/345x-027-purple-maxtrix-top-tent-double/
4 Drawer Maxtrix Dresser in Chestnut,Bunk Beds,,"$1,203.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1369.jpg,https://bedsmart.ca/product/4-drawer-maxtrix-dresser-in-chestnut/
4 Drawer Maxtrix Dresser In Natural,Bunk Beds,,"$1,203.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1388.jpg,https://bedsmart.ca/product/4-drawer-maxtrix-dresser-in-natural/
4 Drawer Maxtrix Dresser in White,Bunk Beds,,"$1,203.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1367.jpg,https://bedsmart.ca/product/4-drawer-maxtrix-dresser-in-white/
4 Shelf Maxtrix Bookcase In Natural,Bunk Beds,,$547.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1451.jpg,https://bedsmart.ca/product/4-shelf-maxtrix-bookcase-in-natural/
4 Shelf Maxtrix Bookcase In White,Bunk Beds,,$547.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1447.jpg,https://bedsmart.ca/product/4-shelf-maxtrix-bookcase-in-white/
Maxtrix 1 Drawer Nightstand,Bunk Beds,,$373.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/258.jpg,https://bedsmart.ca/product/4210-maxtrix-1-drawer-nightstand/
5 Drawer Maxtrix Dresser in Chestnut,Bunk Beds,,"$1,282.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1383.jpg,https://bedsmart.ca/product/5-drawer-maxtrix-dresser-in-chestnut/
5 Drawer Maxtrix Dresser in Natural,Bunk Beds,,"$1,282.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1381.jpg,https://bedsmart.ca/product/5-drawer-maxtrix-dresser-in-natural/
5 Drawer Maxtrix Dresser In White,Bunk Beds,,"$1,282.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1389.jpg,https://bedsmart.ca/product/5-drawer-maxtrix-dresser-in-white/
5 Shelf Maxtrix Bookcase In Chesnut,Bunk Beds,,$603.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1458.jpg,https://bedsmart.ca/product/5-shelf-maxtrix-bookcase-in-chesnut/
5 Shelf Maxtrix Bookcase In Natural,Bunk Beds,,$603.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1452.jpg,https://bedsmart.ca/product/5-shelf-maxtrix-bookcase-in-natural/
5 Shelf Maxtrix Bookcase In White,Bunk Beds,,$603.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1456.jpg,https://bedsmart.ca/product/5-shelf-maxtrix-bookcase-in-white/
6 Drawer Maxtrix Dresser in Chestnut,Bunk Beds,,"$1,391.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1379.jpg,https://bedsmart.ca/product/6-drawer-maxtrix-dresser-in-chestnut/
6 Drawer Maxtrix Dresser in White,Bunk Beds,,"$1,391.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/1377.jpg,https://bedsmart.ca/product/6-drawer-maxtrix-dresser-in-white/
6 Shelf Maxtrix Bookcase In Chestnut,Bunk Beds,,$641.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1468.jpg,https://bedsmart.ca/product/6-shelf-maxtrix-bookcase-in-chestnut/
6 Shelf Maxtrix Bookcase In Natural,Bunk Beds,,$641.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1470.jpg,https://bedsmart.ca/product/6-shelf-maxtrix-bookcase-in-natural/
6 Shelf Maxtrix Bookcase In White,Bunk Beds,,$641.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1466.jpg,https://bedsmart.ca/product/6-shelf-maxtrix-bookcase-in-white/
8 Shelf Maxtrix Bookcase In Chesnut,Bunk Beds,,$716.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1460.jpg,https://bedsmart.ca/product/8-shelf-maxtrix-bookcase-in-chesnut/
8 Shelf Maxtrix Bookcase In Natural,Bunk Beds,,$716.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1464.jpg,https://bedsmart.ca/product/8-shelf-maxtrix-bookcase-in-natural/
8 Shelf Maxtrix Bookcase In White,Bunk Beds,,$716.00,,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/1462.jpg,https://bedsmart.ca/product/8-shelf-maxtrix-bookcase-in-white/
Amazing Maxtrix Full Size Low Loft Bed,Bunk Beds,,"$2,077.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/24.jpg,https://bedsmart.ca/product/amazing-maxtrix-full-size-low-loft-bed/
Awesome Maxtrix Twin Size Mid Loft Bed,Bunk Beds,,"$2,119.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2016/10/awesome-cs__2.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-ns__6.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-ns__2.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-ns__7.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-cp__6.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-cp__2.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-cp__7.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-wp__6.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-wp__2.jpg|https://bedsmart.ca/wp-content/uploads/2016/10/awesome-wp__7.jpg,https://bedsmart.ca/product/awesome-maxtrix-twin-size-mid-loft-bed/
Awesome23 Maxtrix Twin Mid Loft Bed,Bunk Beds,,"$2,816.00",,,attribute_pa_bed-end-style=Panel/Slat | attribute_pa_finish=Espresso/Natural/White,https://bedsmart.ca/wp-content/uploads/2022/06/661.jpg,https://bedsmart.ca/product/awesome23-maxtrix-twin-mid-loft-bed-solid-wood/
Awesome27 Maxtrix Twin Mid Loft Bed,Bunk Beds,,"$2,816.00",,,attribute_pa_bed-end-style=Panel/Slat | attribute_pa_finish=Espresso/Natural/White,https://bedsmart.ca/wp-content/uploads/2022/06/663.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/664.jpg,https://bedsmart.ca/product/awesome27-maxtrix-twin-mid-loft-bed-solid-wood/
Bling Maxtrix Mid Loft Bed With Storage / Twin,Bunk Beds,,"$4,965.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/441.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/440.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2089.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2090.jpg,https://bedsmart.ca/product/bling-maxtrix-mid-loft-bed-with-storage/
Bling2 Maxtrix Mid Loft Bed With Storage / Twin,Bunk Beds,,"$4,309.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/444.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/442.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/443.jpg,https://bedsmart.ca/product/bling2-maxtrix-mid-loft-bed-with-storage/
Bling21L Maxtrix Mid Loft Bed With Storage / Twin,Bunk Beds,,"$4,867.00",,,attribute_pa_bed-end-style=Panel/Slat | attribute_pa_finish=Espresso/Natural/White | attribute_pa_desk-drawer-facing-options=Drawers On Left/Drawers On Right,https://bedsmart.ca/wp-content/uploads/2022/06/2091.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2092.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2093.jpg,https://bedsmart.ca/product/bling21l-maxtrix-mid-loft-bed-with-storage/
Bling23L Maxtrix Twin Mid Loft Bed With Storage,Bunk Beds,,"$4,186.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/734.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/448.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/449.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/450.jpg,https://bedsmart.ca/product/bling23l-maxtrix-twin-mid-loft-bed/
Blue Twin Low Loft Bed With Dresser and Bookcase,Bunk Beds,,"$2,299.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/blue-twin-low-loft-bed-with-dresser-and-bookcase.jpg,https://bedsmart.ca/product/blue-twin-low-loft-bed-with-dresser/
Blue Twin Over Full Loft Bunk Bed With Stairs and Storage,Bunk Beds,,"$4,430.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/blue-twin-over-full-loft-bunk-bed-with-stairs-and-storage.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2390.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2391.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2392.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2394.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2395.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2396.jpg,https://bedsmart.ca/product/blue-twin-over-full-loft-bunk-bed-with-stairs/
BOX10 Maxtrix Low Loft Bed with Storage,Bunk Beds,,"$3,235.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/371.jpg,https://bedsmart.ca/product/box10-maxtrix-low-loft-bed-with-storage-twin/
BOX12 Maxtrix Low Loft Bed with Storage | Twin,Bunk Beds,,"$3,740.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/374.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/375.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/376.jpg,https://bedsmart.ca/product/box12-maxtrix-low-loft-bed-with-storage-twin/
Box2 Maxtrix Low Loft Bed With Storage | Twin,Bunk Beds,,"$3,231.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/361.jpg,https://bedsmart.ca/product/box2-maxtrix-low-loft-bed-with-storage-twin/
Box21L Maxtrix Low Loft Bed With Storage / Twin,Bunk Beds,,"$4,023.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/360.jpg,https://bedsmart.ca/product/box21l-maxtrix-low-loft-bed-with-storage-twin/
Box23L Maxtrix Low Loft Bed With Storage / Twin,Bunk Beds,,"$3,514.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/362.jpg,https://bedsmart.ca/product/box23l-maxtrix-low-loft-bed-with-storage-twin/
Box24L Maxtrix Low Loft Bed With Storage / Twin,Bunk Beds,,"$4,023.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/378.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/377.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/379.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/380.jpg,https://bedsmart.ca/product/box24l-maxtrix-low-loft-bed-with-storage-twin/
Brainy Maxtrix Twin Size Low Loft Bed,Bunk Beds,,"$1,783.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2022/06/16.jpg,https://bedsmart.ca/product/brainy-maxtrix-twin-size-low-loft-bed/
BRAX Maxtrix Full Toddler Bed with Top Tent,Bunk Beds,,"$1,186.00",,In stock,,https://bedsmart.ca/wp-content/uploads/2016/11/184.jpg,https://bedsmart.ca/product/brax-maxtrix-full-toddler-bed-with-top-tent/
Brighton 1 Blue Twin Over Full Loft Bed With Stairs and Desk,Bunk Beds,,"$3,920.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/brighton-1-blue-twin-over-full-loft-bed.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2448.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2449.jpg,https://bedsmart.ca/product/brighton-1-blue-twin-over-full-loft-bed/
Brighton Blue Twin Loft Bed With Stairs and Desk,Bunk Beds,,"$3,350.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/2130.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2129.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2426.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2427.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2428.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2429.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2430.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2431.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2432.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2434.jpg,https://bedsmart.ca/product/brighton-blue-twin-loft-bed-with-stairs/
Brighton Twin Loft Bed With Stairs and Desk In Grey,Bunk Beds,,"$3,350.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/solid-wood-brighton-twin-loft-bed-with-stairs-and-desk-in-grey.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1125.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2411.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2412.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2413.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2414.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2415.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2416.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2418.jpg,https://bedsmart.ca/product/brighton-twin-loft-bed-with-stairs-and-desk-in-grey/
Brighton White Twin Loft Bed with Stairs and Desk,Bunk Beds,"$3,350.00","$2,680.00",,,,https://bedsmart.ca/wp-content/uploads/2022/06/solid-wood-brighton-white-twin-loft-bed-with-stairs-and-desk.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/1041.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2397.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2398.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2400.jpg|https://bedsmart.ca/wp-content/uploads/2022/06/2402.jpg,https://bedsmart.ca/product/brighton-white-twin-loft-bed-with-stairs-and-desk/
